doc_id,entity,entity_type,source,method,confidence,evidence
166170,Quốc hội,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
166170,Quốc hội,CoQuan,content_clean,gemini,0.98,Quốc hội ban hành Luật Các tổ chức tín dụng.
166170,Vương Đình Huệ,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Vương Đình Huệ
166170,Tín dụng,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Tín dụng
166170,Tín dụng,LinhVuc,content_clean,gemini,0.95,LUẬT CÁC TỔ CHỨC TÍN DỤNG
166170,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,0.98,1. Tổ chức tín dụng.
166170,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,0.98,2. Chi nhánh ngân hàng nước ngoài.
166170,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
166170,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,content_clean,gemini,0.95,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
166170,"Cơ quan, tổ chức, cá nhân có liên quan",DoiTuongApDung,content_clean,gemini,0.9,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng"
112025,Chính phủ,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
112025,Chính phủ,CoQuan,content_clean,gemini,0.98,"Chính phủ ban hành Nghị định quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm."
112025,Nguyễn Xuân Phúc,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Xuân Phúc
112025,Bảo hiểm,LinhVuc,content_clean,gemini,0.95,"QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢO HIỂM"
112025,Doanh nghiệp bảo hiểm,DoiTuongApDung,content_clean,gemini,0.95,a) Doanh nghiệp bảo hiểm;
112025,Chi nhánh nước ngoài,DoiTuongApDung,content_clean,gemini,0.95,b) Chi nhánh nước ngoài;
112025,Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,content_clean,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,Đại lý bảo hiểm,DoiTuongApDung,content_clean,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,gemini,0.9,"d) Các tổ chức, cá nhân khác có liên quan."
38128,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
38128,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.98,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
38128,Đào Minh Tú,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
38128,Đào Minh Tú,NguoiKy,content_clean,gemini,0.95,Người ký: Đào Minh Tú
38128,Phát hành và kho quỹ,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Phát hành và kho quỹ
38128,Phát hành và kho quỹ,LinhVuc,content_clean,gemini,0.95,Lĩnh vực: Phát hành và kho quỹ
38128,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,DoiTuongApDung,content_clean,gemini,0.95,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
38128,Nhà máy in tiền Quốc gia,DoiTuongApDung,content_clean,gemini,0.95,2. Nhà máy in tiền Quốc gia.
38128,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",DoiTuongApDung,content_clean,gemini,0.92,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
26750,Quốc hội,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
26750,Quốc hội,CoQuan,content_clean,gemini,0.98,Quốc hội ban hành Luật Kiểm toán độc lập
26750,Nguyễn Phú Trọng,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Phú Trọng
26750,Kiểm toán độc lập,LinhVuc,content_clean,gemini,0.95,"Luật này quy định nguyên tắc, điều kiện, phạm vi, hình thức hoạt động kiểm toán độc lập;"
26750,kiểm toán viên,DoiTuongApDung,content_clean,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,kiểm toán viên hành nghề,DoiTuongApDung,content_clean,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,doanh nghiệp kiểm toán,DoiTuongApDung,content_clean,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,DoiTuongApDung,content_clean,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,đơn vị được kiểm toán,DoiTuongApDung,content_clean,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,tổ chức nghề nghiệp về kiểm toán,DoiTuongApDung,content_clean,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,"tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",DoiTuongApDung,content_clean,gemini,0.9,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
163441,Chính phủ,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
163441,Lê Minh Khái,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Lê Minh Khái
163441,Bảo hiểm,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Bảo hiểm
146468,Chính phủ,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
146468,Nguyễn Xuân Phúc,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Xuân Phúc
146468,Chứng khoán,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Chứng khoán
168220,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
168220,Đào Minh Tú,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
168220,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
133858,Chính phủ,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
133858,Chính phủ,CoQuan,content_clean,gemini,0.98,Chính phủ ban hành Nghị định về kiểm toán nội bộ.
133858,Nguyễn Xuân Phúc,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Xuân Phúc
133858,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,0.9,Người ký: Nguyễn Xuân Phúc
133858,Kiểm toán,LinhVuc,content_clean,gemini,0.95,"Nghị định này quy định về công tác kiểm toán nội bộ trong các cơ quan nhà nước, đơn vị sự nghiệp công lập và các doanh nghiệp."
133858,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",DoiTuongApDung,content_clean,gemini,0.95,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",DoiTuongApDung,content_clean,gemini,0.95,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
133858,Các đơn vị sự nghiệp công lập,DoiTuongApDung,content_clean,gemini,0.95,c) Các đơn vị sự nghiệp công lập;
133858,Các doanh nghiệp,DoiTuongApDung,content_clean,gemini,0.95,d) Các doanh nghiệp;
133858,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",DoiTuongApDung,content_clean,gemini,0.9,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
133858,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,0.9,Công tác kiểm toán nội bộ của tổ chức tín dụng thực hiện theo Luật các tổ chức tín dụng
133858,Ngân hàng Nhà nước,DoiTuongApDung,content_clean,gemini,0.9,Công tác kiểm toán nội bộ của Ngân hàng Nhà nước thực hiện theo Luật Ngân hàng Nhà nước
169221,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
169221,Phạm Thanh Hà,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Phạm Thanh Hà
169221,Quản lý ngoại hối,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Quản lý ngoại hối
95652,Chính phủ,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
95652,Nguyễn Tấn Dũng,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Tấn Dũng
f69936f0-6937-11f1-a48d-29bc6b0fd706,Bộ Tài chính,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
f69936f0-6937-11f1-a48d-29bc6b0fd706,Nguyễn Đức Chi,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Đức Chi
30402,Bộ Tài chính,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
30402,Trần Xuân Hà,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Trần Xuân Hà
30402,Quản lý dịch vụ tài chính và các quỹ tài chính,LinhVuc,metadata,rule,1.0,Metadata gốc: linh_vuc = Quản lý dịch vụ tài chính và các quỹ tài chính
173460,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
173460,Đoàn Thái Sơn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
173460,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
27257,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
27257,Trần Minh Tuấn,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Trần Minh Tuấn
143217,Bộ Tài chính,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
168859,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
168859,Đào Minh Tú,NguoiKy,metadata,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
