entity_id,source_doc_id,entity_type,canonical_name,original_name,source,method,confidence,evidence
ENT_0001,166170,CoQuan,Quốc hội,Quốc hội,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
ENT_0002,166170,CoQuan,Quốc hội,Quốc hội,content_clean,gemini,0.98,Quốc hội ban hành Luật Các tổ chức tín dụng.
ENT_0003,166170,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,metadata,rule,1.0,Metadata gốc: nguoi_ky = Vương Đình Huệ
ENT_0004,166170,LinhVuc,Tín dụng,Tín dụng,metadata,rule,1.0,Metadata gốc: linh_vuc = Tín dụng
ENT_0005,166170,LinhVuc,Tín dụng,Tín dụng,content_clean,gemini,0.95,LUẬT CÁC TỔ CHỨC TÍN DỤNG
ENT_0006,166170,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,content_clean,gemini,0.98,1. Tổ chức tín dụng.
ENT_0007,166170,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,content_clean,gemini,0.98,2. Chi nhánh ngân hàng nước ngoài.
ENT_0008,166170,DoiTuongApDung,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng","Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",content_clean,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
ENT_0009,166170,DoiTuongApDung,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ","Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",content_clean,gemini,0.95,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
ENT_0010,166170,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan","Cơ quan, tổ chức, cá nhân có liên quan",content_clean,gemini,0.9,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng"
ENT_0011,112025,CoQuan,Chính phủ,Chính phủ,metadata,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
ENT_0012,112025,CoQuan,Chính phủ,Chính phủ,content_clean,gemini,0.98,"Chính phủ ban hành Nghị định quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm."
ENT_0013,112025,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,metadata,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Xuân Phúc
ENT_0014,112025,LinhVuc,Bảo hiểm,Bảo hiểm,content_clean,gemini,0.95,"QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢO HIỂM"
ENT_0015,112025,DoiTuongApDung,Doanh nghiệp bảo hiểm,Doanh nghiệp bảo hiểm,content_clean,gemini,0.95,a) Doanh nghiệp bảo hiểm;
ENT_0016,112025,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,content_clean,gemini,0.95,b) Chi nhánh nước ngoài;
ENT_0017,112025,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,content_clean,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
